id;x;y;z;time;;;
0x6733;2061;895;0;2019-05-16 10:24:47.508;24.47,5;47,508;0,191
0x6733;2089;883;0;2019-05-16 10:24:47.699;24.47,7;47,699;0,178
0x6733;1977;911;0;2019-05-16 10:24:47.877;24.47,9;47,877;0,372
0x6733;1947;934;0;2019-05-16 10:24:48.249;24.48,2;48,249;0,178
0x6733;2123;938;0;2019-05-16 10:24:48.427;24.48,4;48,427;0,37
0x6733;2052;1067;0;2019-05-16 10:24:48.797;24.48,8;48,797;0,177
0x6733;2117;897;0;2019-05-16 10:24:48.974;24.49,0;48,974;0,184
0x6733;2112;952;0;2019-05-16 10:24:49.158;24.49,2;49,158;0,178
0x6733;2115;940;0;2019-05-16 10:24:49.336;24.49,3;49,336;0,18
0x6733;1942;948;0;2019-05-16 10:24:49.516;24.49,5;49,516;0,372
0x6733;2119;959;0;2019-05-16 10:24:49.888;24.49,9;49,888;0,179
0x6733;2114;939;0;2019-05-16 10:24:50.067;24.50,1;50,067;0,194
0x6733;1919;958;0;2019-05-16 10:24:50.261;24.50,3;50,261;0,179
0x6733;2107;944;0;2019-05-16 10:24:50.440;24.50,4;50,44;0,181
0x6733;2111;960;0;2019-05-16 10:24:50.621;24.50,6;50,621;0,192
0x6733;2121;938;0;2019-05-16 10:24:50.813;24.50,8;50,813;0,18
0x6733;2121;949;0;2019-05-16 10:24:50.993;24.51,0;50,993;0,18
0x6733;2113;964;0;2019-05-16 10:24:51.173;24.51,2;51,173;0,369
0x6733;1923;938;0;2019-05-16 10:24:51.542;24.51,5;51,542;0,183
0x6733;2095;962;0;2019-05-16 10:24:51.725;24.51,7;51,725;0,385
0x6733;2088;922;0;2019-05-16 10:24:52.110;24.52,1;52,11;0,18
0x6733;1899;910;0;2019-05-16 10:24:52.290;24.52,3;52,29;0,18
0x6733;2109;939;0;2019-05-16 10:24:52.470;24.52,5;52,47;0,18
0x6733;1943;903;0;2019-05-16 10:24:52.650;24.52,6;52,65;0,37
0x6733;1942;909;0;2019-05-16 10:24:53.020;24.53,0;53,02;0,183
0x6733;1886;920;0;2019-05-16 10:24:53.203;24.53,2;53,203;0,381
0x6733;2122;937;0;2019-05-16 10:24:53.584;24.53,6;53,584;0,164
0x6733;2099;947;0;2019-05-16 10:24:53.748;24.53,7;53,748;0,368
0x6733;2117;953;0;2019-05-16 10:24:54.116;24.54,1;54,116;0,187
0x6733;2136;987;0;2019-05-16 10:24:54.303;24.54,3;54,303;0,17
0x6733;1812;1084;0;2019-05-16 10:24:54.473;24.54,5;54,473;0,189
0x6733;2155;936;0;2019-05-16 10:24:54.662;24.54,7;54,662;0,181
0x6733;1998;1076;0;2019-05-16 10:24:54.843;24.54,8;54,843;0,192
0x6733;1942;1047;0;2019-05-16 10:24:55.035;24.55,0;55,035;0,174
0x6733;2009;1084;0;2019-05-16 10:24:55.209;24.55,2;55,209;0,188
0x6733;2022;1019;0;2019-05-16 10:24:55.397;24.55,4;55,397;0,183
0x6733;2057;1040;0;2019-05-16 10:24:55.580;24.55,6;55,58;0,183
0x6733;2031;920;0;2019-05-16 10:24:55.763;24.55,8;55,763;0,185
0x6733;2037;1140;0;2019-05-16 10:24:55.948;24.55,9;55,948;0,182
0x6733;1680;1091;0;2019-05-16 10:24:56.130;24.56,1;56,13;0,174
0x6733;2008;1061;0;2019-05-16 10:24:56.304;24.56,3;56,304;0,183
0x6733;1882;951;0;2019-05-16 10:24:56.487;24.56,5;56,487;0,18
0x6733;2098;959;0;2019-05-16 10:24:56.667;24.56,7;56,667;0,187
0x6733;2144;912;0;2019-05-16 10:24:56.854;24.56,9;56,854;0,186
0x6733;2048;949;0;2019-05-16 10:24:57.040;24.57,0;57,04;0,181
0x6733;1943;940;0;2019-05-16 10:24:57.221;24.57,2;57,221;0,179
0x6733;2042;883;0;2019-05-16 10:24:57.400;24.57,4;57,4;0,184
0x6733;2116;989;0;2019-05-16 10:24:57.584;24.57,6;57,584;0,185
0x6733;2106;961;0;2019-05-16 10:24:57.769;24.57,8;57,769;0,178
0x6733;1925;967;0;2019-05-16 10:24:57.947;24.57,9;57,947;0,183
0x6733;1993;929;0;2019-05-16 10:24:58.130;24.58,1;58,13;0,219
0x6733;1907;974;0;2019-05-16 10:24:58.349;24.58,3;58,349;0,339
0x6733;1875;971;0;2019-05-16 10:24:58.688;24.58,7;58,688;0,183
0x6733;2122;956;0;2019-05-16 10:24:58.871;24.58,9;58,871;0,181
0x6733;1915;962;0;2019-05-16 10:24:59.052;24.59,1;59,052;0,187
0x6733;1880;976;0;2019-05-16 10:24:59.239;24.59,2;59,239;0,357
0x6733;2123;953;0;2019-05-16 10:24:59.596;24.59,6;59,596;0,187
0x6733;2088;947;0;2019-05-16 10:24:59.783;24.59,8;59,783;0,183
0x6733;1861;977;0;2019-05-16 10:24:59.966;25.00,0;59,966;0,191
0x6733;1901;938;0;2019-05-16 10:25:00.157;25.00,2;0,157;0,177
0x6733;2106;966;0;2019-05-16 10:25:00.334;25.00,3;0,334;0,186
0x6733;1897;935;0;2019-05-16 10:25:00.520;25.00,5;0,52;0,196
0x6733;2108;962;0;2019-05-16 10:25:00.716;25.00,7;0,716;0,357
0x6733;1868;942;0;2019-05-16 10:25:01.073;25.01,1;1,073;0,354
0x6733;1914;950;0;2019-05-16 10:25:01.427;25.01,4;1,427;0,182
0x6733;2113;944;0;2019-05-16 10:25:01.609;25.01,6;1,609;0,187
0x6733;2117;947;0;2019-05-16 10:25:01.796;25.01,8;1,796;0,177
0x6733;2065;1145;0;2019-05-16 10:25:01.973;25.02,0;1,973;0,19
0x6733;1924;987;0;2019-05-16 10:25:02.163;25.02,2;2,163;0,183
0x6733;2115;970;0;2019-05-16 10:25:02.346;25.02,3;2,346;0,178
0x6733;2138;937;0;2019-05-16 10:25:02.524;25.02,5;2,524;0,188
0x6733;2085;941;0;2019-05-16 10:25:02.712;25.02,7;2,712;0,185
0x6733;1900;929;0;2019-05-16 10:25:02.897;25.02,9;2,897;0,187
0x6733;2113;956;0;2019-05-16 10:25:03.084;25.03,1;3,084;0,169
0x6733;2060;1117;0;2019-05-16 10:25:03.253;25.03,3;3,253;0,183
0x6733;1899;943;0;2019-05-16 10:25:03.436;25.03,4;3,436;0,179
0x6733;2125;989;0;2019-05-16 10:25:03.615;25.03,6;3,615;0,183
0x6733;1907;995;0;2019-05-16 10:25:03.798;25.03,8;3,798;0,187
0x6733;2114;986;0;2019-05-16 10:25:03.985;25.04,0;3,985;0,184
0x6733;2114;926;0;2019-05-16 10:25:04.169;25.04,2;4,169;0,178
